id,ciudad,provincia,pais
552,El Peñón,Cundinamarca,Colombia
553,El Rosal,Cundinamarca,Colombia
554,Facatativá,Cundinamarca,Colombia
555,Fomeque,Cundinamarca,Colombia
556,Fosca,Cundinamarca,Colombia
557,Funza,Cundinamarca,Colombia
558,Fúquene,Cundinamarca,Colombia
559,Fusagasugá,Cundinamarca,Colombia
560,Gachala,Cundinamarca,Colombia
561,Gachancipá,Cundinamarca,Colombia
562,Gachetá,Cundinamarca,Colombia
563,Gama,Cundinamarca,Colombia
564,Girardot,Cundinamarca,Colombia
565,Granada,Cundinamarca,Colombia
566,Guachetá,Cundinamarca,Colombia
567,Guaduas,Cundinamarca,Colombia
568,Guasca,Cundinamarca,Colombia
569,Guataquí,Cundinamarca,Colombia
570,Guatavita,Cundinamarca,Colombia
571,Guayabal de Siquima,Cundinamarca,Colombia
572,Guayabetal,Cundinamarca,Colombia
573,Gutiérrez,Cundinamarca,Colombia
574,Jerusalén,Cundinamarca,Colombia
575,Junín,Cundinamarca,Colombia
576,La Calera,Cundinamarca,Colombia
577,La Mesa,Cundinamarca,Colombia
578,La Palma,Cundinamarca,Colombia
579,La Peña,Cundinamarca,Colombia
580,La Vega,Cundinamarca,Colombia
581,Lenguazaque,Cundinamarca,Colombia
582,Macheta,Cundinamarca,Colombia
583,Madrid,Cundinamarca,Colombia
584,Manta,Cundinamarca,Colombia
585,Medina,Cundinamarca,Colombia
586,Mosquera,Cundinamarca,Colombia
587,Nariño,Cundinamarca,Colombia
588,Nemocón,Cundinamarca,Colombia
589,Nilo,Cundinamarca,Colombia
590,Nimaima,Cundinamarca,Colombia
591,Nocaima,Cundinamarca,Colombia
592,Pacho,Cundinamarca,Colombia
593,Paime,Cundinamarca,Colombia
594,Pandi,Cundinamarca,Colombia
595,Paratebueno,Cundinamarca,Colombia
596,Pasca,Cundinamarca,Colombia
597,Puerto Salgar,Cundinamarca,Colombia
598,Pulí,Cundinamarca,Colombia
599,Quebradanegra,Cundinamarca,Colombia
600,Quetame,Cundinamarca,Colombia
601,Quipile,Cundinamarca,Colombia
602,Ricaurte,Cundinamarca,Colombia
603,San Antonio del Tequendama,Cundinamarca,Colombia
604,San Bernardo,Cundinamarca,Colombia
605,San Cayetano,Cundinamarca,Colombia
606,San Francisco,Cundinamarca,Colombia
607,San Juan de Río Seco,Cundinamarca,Colombia
608,Sasaima,Cundinamarca,Colombia
609,Sesquilé,Cundinamarca,Colombia
610,Sibaté,Cundinamarca,Colombia
611,Silvania,Cundinamarca,Colombia
612,Simijaca,Cundinamarca,Colombia
613,Soacha,Cundinamarca,Colombia
614,Sopó,Cundinamarca,Colombia
615,Subachoque,Cundinamarca,Colombia
616,Suesca,Cundinamarca,Colombia
617,Supatá,Cundinamarca,Colombia
618,Susa,Cundinamarca,Colombia
619,Sutatausa,Cundinamarca,Colombia
620,Tabio,Cundinamarca,Colombia
621,Tausa,Cundinamarca,Colombia
622,Tena,Cundinamarca,Colombia
623,Tenjo,Cundinamarca,Colombia
624,Tibacuy,Cundinamarca,Colombia
625,Tibirita,Cundinamarca,Colombia
626,Tocaima,Cundinamarca,Colombia
627,Tocancipá,Cundinamarca,Colombia
628,Topaipí,Cundinamarca,Colombia
629,Ubalá,Cundinamarca,Colombia
630,Ubaque,Cundinamarca,Colombia
631,Une,Cundinamarca,Colombia
632,Útica,Cundinamarca,Colombia
633,Venecia,Cundinamarca,Colombia
634,Vergara,Cundinamarca,Colombia
635,Vianí,Cundinamarca,Colombia
636,Villa de San Diego de Ubate,Cundinamarca,Colombia
637,Villagómez,Cundinamarca,Colombia
638,Villapinzón,Cundinamarca,Colombia
639,Villeta,Cundinamarca,Colombia
640,Viotá,Cundinamarca,Colombia
641,Yacopí,Cundinamarca,Colombia
642,Zipacón,Cundinamarca,Colombia
643,Zipaquirá,Cundinamarca,Colombia
644,Barranco Minas,Guainía,Colombia
645,Cacahual,Guainía,Colombia
646,Inírida,Guainía,Colombia
647,La Guadalupe,Guainía,Colombia
648,Mapiripana,Guainía,Colombia
649,Morichal,Guainía,Colombia
650,Pana Pana,Guainía,Colombia
651,Puerto Colombia,Guainía,Colombia
652,San Felipe,Guainía,Colombia
653,Calamar,Guaviare,Colombia
654,El Retorno,Guaviare,Colombia
655,Miraflores,Guaviare,Colombia
656,San José del Guaviare,Guaviare,Colombia
657,Acevedo,Huila,Colombia
658,Aipe,Huila,Colombia
659,Algeciras,Huila,Colombia
660,Altamira,Huila,Colombia
661,Baraya,Huila,Colombia
662,Campoalegre,Huila,Colombia
663,Colombia,Huila,Colombia
664,El Agrado,Huila,Colombia
665,Elias,Huila,Colombia
666,Garzón,Huila,Colombia
667,Gigante,Huila,Colombia
668,Guadalupe,Huila,Colombia
669,Hobo,Huila,Colombia
670,Iquira,Huila,Colombia
671,Isnos,Huila,Colombia
672,La Argentina,Huila,Colombia
673,La Plata,Huila,Colombia
674,Nataga,Huila,Colombia
675,Neiva,Huila,Colombia
676,Oporapa,Huila,Colombia
677,Paicol,Huila,Colombia
678,Palermo,Huila,Colombia
679,Palestina,Huila,Colombia
680,Pital,Huila,Colombia
681,Pitalito,Huila,Colombia
682,Rivera,Huila,Colombia
683,Saladoblanco,Huila,Colombia
684,San Agustín,Huila,Colombia
685,Santa María,Huila,Colombia
686,Suaza,Huila,Colombia
687,Tarqui,Huila,Colombia
688,Tello,Huila,Colombia
689,Teruel,Huila,Colombia
690,Tesalia,Huila,Colombia
691,Timana,Huila,Colombia
692,Villavieja,Huila,Colombia
693,Yaguará,Huila,Colombia
694,Albania,La Guajira,Colombia
695,Barrancas,La Guajira,Colombia
696,Dibulla,La Guajira,Colombia
697,Distracción,La Guajira,Colombia
698,El Molino,La Guajira,Colombia
699,Fonseca,La Guajira,Colombia
700,Hatonuevo,La Guajira,Colombia
701,La Jagua del Pilar,La Guajira,Colombia
702,Maicao,La Guajira,Colombia
703,Manaure,La Guajira,Colombia
704,Riohacha,La Guajira,Colombia
705,San Juan del Cesar,La Guajira,Colombia
706,Uribia,La Guajira,Colombia
707,Urumita,La Guajira,Colombia
708,Villanueva,La Guajira,Colombia
709,Algarrobo,Magdalena,Colombia
710,Aracataca,Magdalena,Colombia
711,Ariguaní,Magdalena,Colombia
712,Cerro de San Antonio,Magdalena,Colombia
713,Chivolo,Magdalena,Colombia
714,Ciénaga,Magdalena,Colombia
715,Concordia,Magdalena,Colombia
716,El Banco,Magdalena,Colombia
717,El Piñon,Magdalena,Colombia
718,El Retén,Magdalena,Colombia
719,Fundación,Magdalena,Colombia
